call_number,title,author,status,language,location,category
b1-4_72565_76795_SP_de_1,Sprechübungen,Irmgard Welthase,대출 가능,DE,B1-4,어학
b1-4_44154_32906_SZ_de_1,Kommunikation und Medien,Klaus Wenger,대출 가능,DE,B1-4,사회과학
b1-4_58365_25684_SP_de_1,Sprachkritik,Werner Betz,대출 가능,DE,B1-4,어학
b1-4_08618_48864_S_de_1,Gedenkschrift der Universität Graz,Johannes Kepler,대출 가능,DE,B1-4,기타
b1-4_35100_40694_SP_de_1,Grundwortschatz der deutschen Sprache,Kosaras Istvan,대출 가능,DE,B1-4,어학
b1-4_12590_21349_SP_de_1,Arbeitsmittel für den Deutschunterricht an Ausländer 1986,Sigbert Latzel,대출 가능,DE,B1-4,어학
b1-4_76380_62688_SP_de_1,Arbeitsmittel für den Deutschunterricht an Ausländer 1985,Karin Wolff,대출 가능,DE,B1-4,어학
b1-4_34949_62688_SP_de_1,Arbeitsmittel für den Deutschunterricht an Ausländer 1982,Karin Wolff,대출 가능,DE,B1-4,어학
b1-4_39498_86700_SP_en_1,The Emergence of Philosophical Semantics in Early Greek Antiquity,Peter Schmitter,대출 가능,EN,B1-4,어학
b1-4_92002_03241_SP_de_1,Informationen Deutsch als Fremdsprache April 1986,DAAD,대출 가능,DE,B1-4,어학
b1-4_82460_90790_SP_de_1,Deutsch als Fremdsprache Dialogische Übungen,Manfred Lechner,대출 가능,DE,B1-4,어학
b1-4_79769_58090_L_de_1,Sprengstoff,Richard Bachmann,대출 가능,DE,B1-4,문학
b1-4_53905_25703_S_de_1,Das neue Testament,Heinrich Vogels,대출 가능,DE,B1-4,기타
b1-4_06533_51606_S_de_1,Das Prinzip Verantwortung,Hans Jonas,대출 가능,DE,B1-4,기타
b1-4_18545_11057_SP_de_1,Soziolinguische Schriften I,Adorno,대출 가능,DE,B1-4,어학
b1-5_79600_03241_SP_de_1,Informationen Deutsch als Fremdsprache April 1985,DAAD,대출 가능,DE,B1-5,어학
b1-5_75673_28770_SP_en_1,Developing reading skills,"Linda Markstein, Louise Hirasawa",대출 가능,EN,B1-5,어학
b1-5_60101_84965_SP_de_1,moderner deutscher Sprachgebrauch,"Schulz, Griesbach",대출 가능,DE,B1-5,어학
b1-5_88965_85817_SP_en_1,idiom drills,George P. McCallum,대출 가능,EN,B1-5,어학
b1-5_17370_21409_SP_de_1,Modelle für den audiolingualen Unterricht 3,"Werner, Alice Beile",대출 가능,DE,B1-5,어학
b1-5_36969_70156_SP_de_1,Arbeitsbuch Deutsch Sekundarstufe 2,Robert Ulshofer,대출 가능,DE,B1-5,어학
b1-5_79032_04792_SP_de_1,Deutsche Dialekte,Dr. Manfred Schradi,대출 가능,DE,B1-5,어학
b1-5_80637_95801_SP_de_1,Wirtschafts-Sprache,"Renner, Sachs",대출 가능,DE,B1-5,어학
b1-5_30723_98010_SP_de_1,Deutsche Sprache,Werner König,대출 가능,DE,B1-5,어학
b1-5_44555_13705_SP_de_1,"Sprache, Wissen und Gesellschaft","Katharina Bremer, Marcus Müller",대출 가능,DE,B1-5,어학
b1-5_31703_07340_SP_de_1,Geschichte der deutschen Sprache Teil 1 Einführung. Vorgeschichte und Geschichte,Wilhelm Schmidt,대출 가능,DE,B1-5,어학
b1-5_42933_07340_SP_de_1,"Geschichte der deutschen Sprache Teil 2 Althochdeutsch, Mittelhochdeutsch und Frühneuhochdeutsch",Wilhelm Schmidt,대출 가능,DE,B1-5,어학
b1-5_06072_34722_SZ_de_1,Menschen Rechte,Leah Levin,대출 가능,DE,B1-5,사회과학
b1-5_86182_76777_SZ_de_1,Volks-Wirtschafts Lehre,Paul A. Samuelson,대출 가능,DE,B1-5,사회과학
b1-5_98087_32183_SZ_de_1,Einführung in die Allgemeine Betriebs-wirtschaftslehre,Lechner-Egger-Schauer,대출 가능,DE,B1-5,사회과학
b1-5_88238_19567_G_de_1,Das Nationalsozialistengesetz mit Verbotsgesetz,Dr. Egon Praunegger,대출 가능,DE,B1-5,역사
b1-5_48776_15164_SZ_de_1,Einführung in das Österreichische Arbeits und Sozialrecht,Juergen Berger,대출 가능,DE,B1-5,사회과학
