call_number,title,author,status,language,location,category
c17-1_54888_83949_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 85. BAND 2. HEFT,RAINER GRUENTER,AVAILABLE,DE,C17-1,문학
c17-1_25856_83949_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 85. BAND 3./4. HEFT,RAINER GRUENTER,AVAILABLE,DE,C17-1,문학
c17-1_16289_83949_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 86. BAND 1. HEFT,RAINER GRUENTER,AVAILABLE,DE,C17-1,문학
c17-1_94224_83949_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 86. BAND 2. HEFT,RAINER GRUENTER,AVAILABLE,DE,C17-1,문학
c17-1_47338_83949_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 86. BAND 3. HEFT,RAINER GRUENTER,AVAILABLE,DE,C17-1,문학
c17-4_04389_07455_SP_de_1,Musik und Kunst - im Unterricht Deutsch als Fremdsprache,"Rainer E. Wicke, Karin Rottman",AVAILABLE,DE,C17-4,어학
c17-4_09754_60489_SP_de_1,Deutsch lernen mit Rythmus - Der Sprechrthythmus als Basis einer intergrierten Pheonetik im Unterricht Deutsch als Fremdsprache,Andreas Fischer,AVAILABLE,DE,C17-4,어학
c17-4_53296_58541_L_de_1,Balladen verstehen - Balladen vortragen,Wolfgang Brauer,AVAILABLE,DE,C17-4,문학
c17-4_24765_48581_L_de_1,Eine Literaturgeschichte: ÖSTERREICH SEIT 1650,"Klaus Zeyringer, Helmut Gollner",AVAILABLE,DE,C17-4,문학
c17-4_50997_92926_L_de_1,Goethe: Kunstwerk des Lebens,Rüdinger Safranski,AVAILABLE,DE,C17-4,문학
c17-4_88035_24394_L_en_1,Music and Song,Tim Murphey,AVAILABLE,EN,C17-4,문학
c17-4_41447_23568_L_de_1,Das Reclam Buch der Musik,Arnold Werner - Jensen,AVAILABLE,DE,C17-4,문학
c17-4_04301_07737_L_de_1,Komponistenlexikon für junge Leute - 153 Porträts von der Renaissance bis zur Gegenwart,Ulrich Rühle,AVAILABLE,DE,C17-4,문학
c17-4_55378_23147_SP_de_1,Sprache und Musik - Perspektiven einer beziehung,Albrecht Riethmüller,AVAILABLE,DE,C17-4,어학
c17-4_77950_23841_G_de_1,"Alles, was draußen ist",Saskia Hennig Von Lange,AVAILABLE,DE,C17-4,역사
c17-4_09242_10527_L_de_1,"Herrn Yetts Betrachtungen, oder Brosamen, die erfallen liess, aufgelesen von seinen zuhören",Hans Magnus Enzensberger,AVAILABLE,DE,C17-4,문학
c17-4_50004_16638_L_de_1,Das Ungeheuer,Terézia Mora,AVAILABLE,DE,C17-4,문학
c17-4_81723_54044_L_de_1,Jahrbuch Der Lyrik 2013,"Christoph Buchwald, Jan Wagner",AVAILABLE,DE,C17-4,문학
c17-4_48345_40994_L_de_1,Unter der Hand,Dagmar Leupold,AVAILABLE,DE,C17-4,문학
c17-4_41889_36507_L_de_1,Heimliche Helden,Ulrike Draesner,AVAILABLE,DE,C17-4,문학
c17-4_69068_93282_L_de_1,Vogelweide,Uwe Timm,AVAILABLE,DE,C17-4,문학
c17-4_73159_69378_L_en_1,F,Daniel Kehlmann,AVAILABLE,EN,C17-4,문학
c17-4_98069_31981_L_de_1,Das größere Wunder,Thomas Glavinic,AVAILABLE,DE,C17-4,문학
c17-4_37880_11445_L_de_1,"Das Erste, was ich sah",Karl-Markus Gauß,AVAILABLE,DE,C17-4,문학
c17-4_54417_81555_L_de_1,Quasikristalle,Eva Menasse,AVAILABLE,DE,C17-4,문학
c17-4_34629_24327_L_de_1,Strom,Hannah Dübgen,AVAILABLE,DE,C17-4,문학
c17-4_80995_94780_G_de_1,Die Linke Hand des Papstes,Friedrich Christian Delius,AVAILABLE,DE,C17-4,역사
c17-4_63196_62798_L_de_1,Frühling der Barbaren,Jonas Lüscher,AVAILABLE,DE,C17-4,문학
c17-4_90231_65809_L_de_1,Im Stem,Clemens Meyer,AVAILABLE,DE,C17-4,문학
c17-4_12908_21027_L_de_1,Musik und Bildende Kunst in Deutschunterricht - Band 21,Wolfgang Wangerin,AVAILABLE,DE,C17-4,문학
c17-6_63411_09654_L_de_1,Gregorius,Hartmann von Aue,AVAILABLE,DE,C17-6,문학
c17-6_10733_26418_SP_de_1,Walter Benjamins Theorie der Sprachmagie,Winfried Menninghaus,AVAILABLE,DE,C17-6,어학
c17-6_88054_22556_L_de_1,Deutsche Prosa Erzählungen seit 1945 - sonderreihe dtv,Horst Bingel,AVAILABLE,DE,C17-6,문학
c17-6_74573_28063_SZ_de_1,Politik der Gefühle - Ein Essay über Österreich,Josef Haslinger,AVAILABLE,DE,C17-6,사회과학
c17-6_95916_81274_L_de_1,Das sprachliche Kunstwerk - Eine Einführung in die Literaturwissenschaft,Wolfgang Kayser,AVAILABLE,DE,C17-6,문학
c17-6_81151_98132_L_de_1,Die Fastnachtsbeichte,Carl Zuckmayer,AVAILABLE,DE,C17-6,문학
c17-6_75032_52575_L_de_2,Deutsche Gegenwartsliteratur - Ausgangspositionen und aktuelle Entwicklungen,Manfred Durzak,AVAILABLE,DE,C17-6,문학
c17-6_83527_46990_L_de_1,Geschichte der deutschen Literatur vom 18. Jahrhundert bis zur Gegenwart,Viktor Žmegač,AVAILABLE,DE,C17-6,문학
c17-6_81309_23967_L_de_1,deutsche Literatur das 19. und 20. Jahrhundert,Walter Urbanek,AVAILABLE,DE,C17-6,문학
c17-6_08455_70588_SP_kr_1,외국문학연구 제25호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_19128_70588_SP_kr_1,외국문학연구 제26호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_51987_70588_SP_kr_1,외국문학연구 제27호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_87346_70588_SP_kr_1,외국문학연구 제28호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_08288_70588_SP_kr_1,외국문학연구 제29호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_78676_70588_SP_kr_1,외국문학연구 제31호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_01141_70588_SP_kr_1,외국문학연구 제32호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_33747_70588_SP_kr_1,외국문학연구 제33호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
